Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"rotary encoder","dial",1,0.00,"https://www.amazon.in/CentIoT-Encoder-Digital-Potentiometer-Control/dp/B0888RWNM1?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A34QREQHZ8C5B0","amazon"
"rp2040","microcontroller",1,6.38,"https://robocraze.com/products/seeed-studio-xiao-rp2040-development-board?variant=47742255562976&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=23145906364&adgroupid=182236965810&keyword=&device=c&gad_source=1&gad_campaignid=23145906364&gbraid=0AAAAADgHQvYlPzGMG3OcYMtb-BlPsfzhf&gclid=Cj0KCQjw77bPBhC_ARIsAGAjjV_IhuaGoKQTdTU_7luZl5Y1Wit55HdLdD95t0fOEzUk7gfg4P0fwLcaAqJXEALw_wcB","robocraze"
"Hot-Swappable Mechanical Keyboard Switches – soft feel linear Switch Set for Gaming Keyboard, Tactile & Clicky Feel, High Durability, Compatible with Custom Mechanical Keyboards","keys",1,9.18,"https://www.amazon.in/Hot-Swappable-Mechanical-Keyboard-Switches-Durability/dp/B0DK1F19YD/ref=sr_1_3?crid=3HNGXFC77PJ99&dib=eyJ2IjoiMSJ9.tfo8ouLvpPQTdKKKsRX2EDglEvz82ErffTzny9o92mJTrr58zcaN__RhRx5XBnp3szi9cI1c4PmsWIogx2fP8SBc0-SSzcPdF2YtFQ2zo25Lx4Kjlt2x4q8MIjOZYepZso1MClqMkSUwiqWgMob8k5nMbcqf0rumt_9KoFYbTqF9RkO_8kXbbMSp-_mK69L1LnkDQ_2OBm01GE8Z4vzYwiDiNigQ8DanNf-hgcddZi8.0B2SdsejfPWKXci2Q0j7Yk2KA6RVy10N3cj41HMa-XI&dib_tag=se&keywords=linear+keyboard+switches&qid=1776534111&sprefix=linear+key%2Caps%2C450&sr=8-3","amazon"
"3d printed comps","structure",1,4.00,"","printing legion"
"pcb","pcb",1,9.94,"","jlcpcb"
